route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4486_88180,342,4492_3187,Ballycullen Road,19507,0,4492_7778195_1015012,4492_92
4486_88180,341,4492_3188,Ballycullen Road,14097,0,4492_7778195_1015001,4492_93
4486_88180,340,4492_3189,Ballycullen Road,1301,0,4492_7778195_9015013,4492_94
4486_88252,341,4492_319,Shanard Road,9260,1,4492_7778195_9001004,4492_5
4486_88180,340,4492_3190,Ballycullen Road,7085,0,4492_7778195_1015018,4492_92
4486_88180,342,4492_3191,Ballycullen Road,19456,0,4492_7778195_1015002,4492_92
4486_88180,341,4492_3192,Ballycullen Road,14001,0,4492_7778195_1015013,4492_93
4486_88180,340,4492_3193,Ballycullen Road,7048,0,4492_7778195_1015020,4492_92
4486_88180,342,4492_3194,Ballycullen Road,19469,0,4492_7778195_1015004,4492_92
4486_88180,340,4492_3195,Ballycullen Road,7070,0,4492_7778195_1015015,4492_93
4486_88180,341,4492_3196,Ballycullen Road,9435,0,4492_7778195_9015009,4492_94
4486_88180,340,4492_3197,Ballycullen Road,1348,0,4492_7778195_9015014,4492_92
4486_88180,340,4492_3198,Ballycullen Road,7121,0,4492_7778195_1015022,4492_95
4486_88180,341,4492_3199,Ballycullen Road,14205,0,4492_7778195_1015007,4492_92
4486_88252,341,4492_32,Shaw street,9247,0,4492_7778195_9001004,4492_1
4486_88252,342,4492_320,Shanard Road,15696,1,4492_7778195_9001004,4492_4
4486_88180,342,4492_3200,Ballycullen Road,19444,0,4492_7778195_1015003,4492_93
4486_88180,340,4492_3201,Ballycullen Road,6973,0,4492_7778195_1015016,4492_92
4486_88180,340,4492_3202,Ballycullen Road,6748,0,4492_7778195_1015001,4492_92
4486_88180,341,4492_3203,Ballycullen Road,14122,0,4492_7778195_1015002,4492_93
4486_88180,342,4492_3204,Ballycullen Road,15884,0,4492_7778195_9015001,4492_94
4486_88180,340,4492_3205,Ballycullen Road,7113,0,4492_7778195_1015017,4492_92
